,treatment,pvalue,statistic,female-yes-#,female-yes-%,female-no-#,female-no-%,male-yes-#,male-yes-%,male-no-#,male-no-%
0,received-analgesic?,0.0517,-2.0323,15,0.75,5,0.25,66,0.92,6,0.08
1,received-opioid?,0.1107,-1.6253,13,0.65,7,0.35,59,0.82,13,0.18
2,received-non-opioid?,0.01,-2.5939,10,0.5,10,0.5,57,0.79,15,0.21
3,received-opioids-only?,0.1832,1.3768,5,0.25,15,0.75,9,0.12,63,0.88
4,received-non-opioids-only?,0.998,0.037,2,0.1,18,0.9,7,0.1,65,0.9
5,received-combined-therapy?,0.0161,-2.4134,8,0.4,12,0.6,50,0.69,22,0.31
6,received-ace-inhibitor?,0.2186,-1.2676,6,0.3,14,0.7,33,0.46,39,0.54
7,received-aspirin?,0.5967,0.6926,5,0.25,15,0.75,13,0.18,59,0.82
8,received-beta-blocker?,0.1204,-1.6269,7,0.35,13,0.65,40,0.56,32,0.44
9,received-anti-platelet?,0.1832,-1.3768,15,0.75,5,0.25,63,0.88,9,0.12
10,received-statin?,0.2598,-1.1826,12,0.6,8,0.4,53,0.74,19,0.26
