,treatment,pvalue,statistic,caucasian-am-yes-#,caucasian-am-yes-%,caucasian-am-no-#,caucasian-am-no-%,african-am-yes-#,african-am-yes-%,african-am-no-#,african-am-no-%,asian-am-yes-#,asian-am-yes-%,asian-am-no-#,asian-am-no-%,hispanic-am-yes-#,hispanic-am-yes-%,hispanic-am-no-#,hispanic-am-no-%,native-am-yes-#,native-am-yes-%,native-am-no-#,native-am-no-%,unknown-yes-#,unknown-yes-%,unknown-no-#,unknown-no-%
0,received-analgesic?,0.1309,8.4961,392,0.79,107,0.21,31,0.78,9,0.23,9,0.6,6,0.4,13,0.68,6,0.32,2,1.0,0,0.0,46,0.67,23,0.33
1,received-opioid?,0.7552,2.6403,294,0.59,205,0.41,24,0.6,16,0.4,9,0.6,6,0.4,11,0.58,8,0.42,2,1.0,0,0.0,36,0.52,33,0.48
2,received-non-opioid?,0.1061,9.0746,390,0.78,109,0.22,31,0.78,9,0.23,9,0.6,6,0.4,13,0.68,6,0.32,2,1.0,0,0.0,45,0.65,24,0.35
3,received-opioids-only?,0.8708,1.8405,2,0.0,497,1.0,0,0.0,40,1.0,0,0.0,15,1.0,0,0.0,19,1.0,0,0.0,2,1.0,1,0.01,68,0.99
4,received-non-opioids-only?,0.3175,5.8861,98,0.2,401,0.8,7,0.17,33,0.82,0,0.0,15,1.0,2,0.11,17,0.89,0,0.0,2,1.0,10,0.14,59,0.86
5,received-combined-therapy?,0.6862,3.0894,292,0.59,207,0.41,24,0.6,16,0.4,9,0.6,6,0.4,11,0.58,8,0.42,2,1.0,0,0.0,35,0.51,34,0.49
6,received-ace-inhibitor?,0.2634,6.4668,147,0.29,352,0.71,8,0.2,32,0.8,1,0.07,14,0.93,7,0.37,12,0.63,1,0.5,1,0.5,18,0.26,51,0.74
7,received-aspirin?,0.4926,4.4055,339,0.68,160,0.32,24,0.6,16,0.4,8,0.53,7,0.47,13,0.68,6,0.32,2,1.0,0,0.0,42,0.61,27,0.39
8,received-beta-blocker?,0.2837,6.2386,323,0.65,176,0.35,28,0.7,12,0.3,7,0.47,8,0.53,15,0.79,4,0.21,2,1.0,0,0.0,41,0.59,28,0.41
9,received-anti-platelet?,0.3904,5.2135,171,0.34,328,0.66,14,0.35,26,0.65,5,0.33,10,0.67,9,0.47,10,0.53,2,1.0,0,0.0,23,0.33,46,0.67
10,received-statin?,0.5336,4.1109,214,0.43,285,0.57,16,0.4,24,0.6,6,0.4,9,0.6,10,0.53,9,0.47,2,1.0,0,0.0,33,0.48,36,0.52
