,treatment,dataset pvalues,fisher-uw-statistic,fisher-uw-pvalue,fisher-w-statistic,fisher-w-pvalue,stouffer-uw-statistic,stouffer-uw-pvalue,stouffer-w-statistic,stouffer-w-pvalue,fe-generalized-statistic,fe-generalized-pvalue,fe-normed-generalized-statistic,fe-normed-generalized-pvalue
0,"('received-analgesic?', 'received-analgesic?')","(0.2334, 0.0438)",9.1662,0.05707582,334.3231,0.0,2.2681,0.01166009,2.3415,0.00960387,1.5096614647333497,0.014616931654939035,1.4868948565269398,0.00032438336552062584
1,"('received-opioid?', 'received-opioid?')","(0.8293, 0.1512)",4.1527,0.3857409,168.7411,0.0,1.1674,0.12153125,1.3549,0.08772865,1.165496671280733,0.2514511204878032,1.081046162833807,0.4051736762003203
2,"('received-non-opioid?', 'received-non-opioid?')","(0.2666, 0.0329)",9.4726,0.05031379,352.1453,0.0,2.294,0.0108948,2.4037,0.0081152,1.515996718621821,0.012049577852351443,1.473114932690063,0.0004362020111911997
3,"('received-opioids-only?', 'received-opioids-only?')","(1.0, 0.5843)",1.0747,0.89826819,45.4426,0.0,0.3869,0.3494268,0.4759,0.31706715,0.6252983293556086,0.5077478670290857,1.6119402985074627,1.0
4,"('received-non-opioids-only?', 'received-non-opioids-only?')","(0.1064, 0.9886)",4.504,0.34206985,108.4226,0.0,1.1518,0.12470384,0.8089,0.20928967,1.1540225829216655,0.42885430598490604,1.3529591214154972,0.01056127829228944
5,"('received-combined-therapy?', 'received-combined-therapy?')","(0.7454, 0.1289)",4.6851,0.32115935,187.3509,0.0,1.3033,0.09623375,1.481,0.06929975,1.1719688542825362,0.2512897987553896,1.0759437277128152,0.43241505230382
6,"('received-ace-inhibitor?', 'received-ace-inhibitor?')","(0.2137, 0.0195)",10.961,0.02700531,406.9874,0.0,2.5309,0.00568789,2.6452,0.00408162,1.4935050993022008,0.0025433814015960194,1.5175213817431528,6.9590720266848515e-06
7,"('received-aspirin?', 'received-aspirin?')","(0.2988, 0.019)",10.3426,0.03503569,393.1084,0.0,2.3932,0.00835034,2.5528,0.0053426,1.5289940828402366,0.006231329655929235,1.461240975358572,0.00017209778040100244
8,"('received-beta-blocker?', 'received-beta-blocker?')","(0.5485, 0.0428)",7.5036,0.11155196,295.2991,0.0,1.8566,0.03168218,2.058,0.01979381,1.2603335750543871,0.13041236772974307,1.0960891926409169,0.3824967792892774
9,"('received-anti-platelet?', 'received-anti-platelet?')","(0.3817, 0.7494)",2.5032,0.6440619,70.5864,0.0,0.8444,0.19921566,0.7094,0.23904567,1.0451612903225806,0.7391353998377379,0.9916934288537549,0.9282076632187304
10,"('received-statin?', 'received-statin?')","(0.7659, 0.1728)",4.0446,0.3999971,161.2626,0.0,1.1745,0.12009597,1.3327,0.0913107,1.2282903981264637,0.1515062428834066,1.1457917944785276,0.13931761521381095
