,treatment,dataset pvalues,fisher-uw-statistic,fisher-uw-pvalue,fisher-w-statistic,fisher-w-pvalue,stouffer-uw-statistic,stouffer-uw-pvalue,stouffer-w-statistic,stouffer-w-pvalue,fe-generalized-statistic,fe-generalized-pvalue,fe-normed-generalized-statistic,fe-normed-generalized-pvalue
0,"('received-analgesic?', 'received-analgesic?')","(0.4557, 0.0552)",7.3654,0.11779196,330.7822,0.0,1.8832,0.02983674,2.0476,0.02029773,0.9122788439834696,0.335000102050238,1.0387553041018387,0.5851327622555494
1,"('received-opioid?', 'received-opioid?')","(0.0537, 0.2099)",8.9709,0.06183015,305.1897,0.0,2.2508,0.01219961,1.9893,0.02333511,0.9826228186032402,0.8476038156670356,1.122895905731065,0.04060630484206085
2,"('received-non-opioid?', 'received-non-opioid?')","(0.3699, 0.0416)",8.3484,0.07961942,369.7745,0.0,2.0748,0.01900418,2.2229,0.01311127,0.9106032886616117,0.3370425462021309,1.0493772051768155,0.49737448837483844
3,"('received-opioids-only?', 'received-opioids-only?')","(0.5652, 0.4519)",2.7297,0.60402062,108.7215,0.0,0.9386,0.1739671,0.9308,0.17597742,1.1819379115710253,1.0,0.41817496229260936,0.21916578556795524
4,"('received-non-opioids-only?', 'received-non-opioids-only?')","(0.10400000000000001, 0.7853)",5.0101,0.28626195,139.1457,0.0,1.3422,0.08976274,0.9765,0.1644127,0.9419353651354535,0.5484856204982849,0.8695019992729917,0.049532138827521985
5,"('received-combined-therapy?', 'received-combined-therapy?')","(0.0401, 0.17600000000000002)",9.9073,0.04201848,337.7004,0.0,2.4083,0.00801287,2.1336,0.01643658,0.9808927886459532,0.8178284559927473,1.1314604774535808,0.028914889557934385
6,"('received-ace-inhibitor?', 'received-ace-inhibitor?')","(0.3572, 0.0022)",14.2975,0.00640362,666.744,0.0,2.8161,0.00243074,3.1479,0.00082215,0.8940109108159393,0.14201050149744088,0.9921841017833841,0.8896249389321189
7,"('received-aspirin?', 'received-aspirin?')","(0.4056, 0.0169)",9.9657,0.04101014,455.5544,0.0,2.2773,0.01138523,2.5072,0.00608498,0.9365505050505051,0.4663901815788781,1.104581752055661,0.11736499967205169
8,"('received-beta-blocker?', 'received-beta-blocker?')","(0.2384, 0.0294)",9.9211,0.04177737,426.926,0.0,2.3738,0.00880277,2.4757,0.00664834,0.9553072889379758,0.5995422847093999,1.128906328998726,0.05097129425850038
9,"('received-anti-platelet?', 'received-anti-platelet?')","(0.3533, 0.8498)",2.4064,0.66147389,69.1503,0.0,0.7902,0.21469115,0.5877,0.27836322,1.1503239861245524,0.07240176514326288,1.3012779531658836,1.8939846104380573e-06
10,"('received-statin?', 'received-statin?')","(0.7020000000000001, 0.0063)",10.8421,0.02839764,526.8023,0.0,2.2022,0.01382596,2.6106,0.00451882,0.94360706025954,0.491105493830583,1.0692760451562242,0.23933074490055106
