,variable,coef,p-value,OR
0,shock?,-1.44484,0.0,0.23578
1,los-h(days),-0.15569,0.0,0.85582
2,received-analgesic?,-3.09654,0.0,0.04521
3,received-ace-inhibitor?,0.61606,0.0,1.85162
4,received-beta-blocker?,1.75523,0.0,5.78478
5,received-anti-platelet?,0.57337,9e-05,1.77424
6,received-statin?,0.82032,0.00012,2.27123
7,agegroup-40-49,2.0679,0.0,7.9082
8,agegroup-50-59,1.37481,0.00019,3.95433
9,agegroup-60-69,0.85092,0.01473,2.3418
10,agegroup-80+,-0.83946,0.02003,0.43194
11,gender-female,-0.69816,0.0,0.4975
12,insurance-government,2.85201,2e-05,17.32257
13,insurance-medicaid,1.09805,0.01061,2.99831
14,insurance-medicare,1.043,0.00357,2.83772
15,insurance-private,1.65565,0.0,5.23648
16,ethnic-group-hispanic,1.02227,0.03105,2.7795
