,treatment,pvalue,statistic,caucasian-yes-#,caucasian-yes-%,caucasian-no-#,caucasian-no-%,non-caucasian-yes-#,non-caucasian-yes-%,non-caucasian-no-#,non-caucasian-no-%
0,received-analgesic?,0.0438,2.0174,1395,0.87,206,0.13,153,0.82,34,0.18
1,received-opioid?,0.1512,1.449,1028,0.64,573,0.36,110,0.59,77,0.41
2,received-non-opioid?,0.0329,2.1344,1392,0.87,209,0.13,152,0.81,35,0.19
3,received-opioids-only?,0.5843,-0.9514,3,0.0,1598,1.0,1,0.01,186,0.99
4,received-non-opioids-only?,0.9886,-0.022,367,0.23,1234,0.77,43,0.23,144,0.77
5,received-combined-therapy?,0.1289,1.5404,1025,0.64,576,0.36,109,0.58,78,0.42
6,received-ace-inhibitor?,0.0195,2.3457,981,0.61,620,0.39,98,0.52,89,0.48
7,received-aspirin?,0.019,2.3489,1371,0.86,230,0.14,148,0.79,39,0.21
8,received-beta-blocker?,0.0428,2.0271,1336,0.83,265,0.17,145,0.78,42,0.22
9,received-anti-platelet?,0.7494,0.3257,1089,0.68,512,0.32,125,0.67,62,0.33
10,received-statin?,0.1728,1.3719,1276,0.8,325,0.2,141,0.75,46,0.25
