,treatment,pvalue,statistic,caucasian-yes-#,caucasian-yes-%,caucasian-no-#,caucasian-no-%,non-caucasian-yes-#,non-caucasian-yes-%,non-caucasian-no-#,non-caucasian-no-%,unknown-yes-#,unknown-yes-%,unknown-no-#,unknown-no-%
0,received-analgesic?,0.0,72.6241,1395,0.87,206,0.13,153,0.82,34,0.18,533,0.73,200,0.27
1,received-opioid?,0.0,22.8116,1028,0.64,573,0.36,110,0.59,77,0.41,395,0.54,338,0.46
2,received-non-opioid?,0.0,71.5575,1392,0.87,209,0.13,152,0.81,35,0.19,532,0.73,201,0.27
3,received-opioids-only?,0.5431,1.2209,3,0.0,1598,1.0,1,0.01,186,0.99,1,0.0,732,1.0
4,received-non-opioids-only?,0.0763,5.1472,367,0.23,1234,0.77,43,0.23,144,0.77,138,0.19,595,0.81
5,received-combined-therapy?,0.0,22.6726,1025,0.64,576,0.36,109,0.58,78,0.42,394,0.54,339,0.46
6,received-ace-inhibitor?,0.0013,13.2682,981,0.61,620,0.39,98,0.52,89,0.48,398,0.54,335,0.46
7,received-aspirin?,0.0,60.3873,1371,0.86,230,0.14,148,0.79,39,0.21,529,0.72,204,0.28
8,received-beta-blocker?,0.0,74.0853,1336,0.83,265,0.17,145,0.78,42,0.22,496,0.68,237,0.32
9,received-anti-platelet?,0.0,21.3786,1089,0.68,512,0.32,125,0.67,62,0.33,427,0.58,306,0.42
10,received-statin?,0.0,62.7411,1276,0.8,325,0.2,141,0.75,46,0.25,472,0.64,261,0.36
