,treatment,pvalue,statistic,female-yes-#,female-yes-%,female-no-#,female-no-%,male-yes-#,male-yes-%,male-no-#,male-no-%
0,received-analgesic?,0.0552,-1.9191,741,0.81,178,0.19,1340,0.84,262,0.16
1,received-opioid?,0.2099,-1.2576,544,0.59,375,0.41,989,0.62,613,0.38
2,received-non-opioid?,0.0416,-2.0384,738,0.8,181,0.2,1338,0.84,264,0.16
3,received-opioids-only?,0.4519,1.095,3,0.0,916,1.0,2,0.0,1600,1.0
4,received-non-opioids-only?,0.7853,-0.2776,197,0.21,722,0.79,351,0.22,1251,0.78
5,received-combined-therapy?,0.176,-1.3562,541,0.59,378,0.41,987,0.62,615,0.38
6,received-ace-inhibitor?,0.0022,-3.0598,502,0.55,417,0.45,975,0.61,627,0.39
7,received-aspirin?,0.0169,-2.3926,724,0.79,195,0.21,1324,0.83,278,0.17
8,received-beta-blocker?,0.0294,-2.182,699,0.76,220,0.24,1278,0.8,324,0.2
9,received-anti-platelet?,0.8498,-0.1916,596,0.65,323,0.35,1045,0.65,557,0.35
10,received-statin?,0.0063,-2.7318,660,0.72,259,0.28,1229,0.77,373,0.23
