,variable,coef,p-value,OR
0,shock?,2.96904,0.0,19.47322
1,los-h(days),-0.03805,0.01081,0.96266
2,received-combined-therapy?,1.66107,0.0,5.26494
3,received-ace-inhibitor?,-0.75948,0.00143,0.46791
4,received-aspirin?,-1.0903,0.01594,0.33612
5,received-beta-blocker?,-1.81661,0.0,0.16258
6,received-statin?,-0.91049,0.0078,0.40233
7,agegroup-40-49,-1.72573,0.02092,0.17804
8,agegroup-50-59,-1.00344,0.03733,0.36662
9,agegroup-80+,0.90968,0.04365,2.48353
10,ethnic-group-caucasian,-0.5801,0.01326,0.55984
