,treatment,pvalue,statistic,medicare-yes-#,medicare-yes-%,medicare-no-#,medicare-no-%,medicaid-yes-#,medicaid-yes-%,medicaid-no-#,medicaid-no-%,other-yes-#,other-yes-%,other-no-#,other-no-%
0,received-analgesic?,0.7808,0.4949,2382,0.99,21,0.01,196,0.99,1,0.01,2290,0.99,17,0.01
1,received-opioid?,0.0052,10.5301,1011,0.42,1392,0.58,104,0.53,93,0.47,944,0.41,1363,0.59
2,received-non-opioid?,0.6754,0.7849,2376,0.99,27,0.01,195,0.99,2,0.01,2287,0.99,20,0.01
3,received-opioids-only?,0.4148,1.7601,6,0.0,2397,1.0,1,0.01,196,0.99,3,0.0,2304,1.0
4,received-non-opioids-only?,0.0063,10.1241,1371,0.57,1032,0.43,92,0.47,105,0.53,1346,0.58,961,0.42
5,received-combined-therapy?,0.0072,9.8702,1005,0.42,1398,0.58,103,0.52,94,0.48,941,0.41,1366,0.59
6,received-ace-inhibitor?,0.0242,7.439,1069,0.44,1334,0.56,102,0.52,95,0.48,1101,0.48,1206,0.52
7,received-aspirin?,0.183,3.3969,2334,0.97,69,0.03,189,0.96,8,0.04,2255,0.98,52,0.02
8,received-beta-blocker?,0.9063,0.1968,2238,0.93,165,0.07,183,0.93,14,0.07,2141,0.93,166,0.07
9,received-anti-platelet?,0.0003,16.1764,1686,0.7,717,0.3,142,0.72,55,0.28,1739,0.75,568,0.25
10,received-statin?,0.0854,4.9204,2265,0.94,138,0.06,185,0.94,12,0.06,2206,0.96,101,0.04
