,treatment,pvalue,statistic,caucasian-yes-#,caucasian-yes-%,caucasian-no-#,caucasian-no-%,non-caucasian-yes-#,non-caucasian-yes-%,non-caucasian-no-#,non-caucasian-no-%,unknown-yes-#,unknown-yes-%,unknown-no-#,unknown-no-%
0,received-analgesic?,0.5763,1.1023,3465,0.99,30,0.01,919,0.99,7,0.01,484,1.0,2,0.0
1,received-opioid?,0.0,38.5527,1419,0.41,2076,0.59,372,0.4,554,0.6,268,0.55,218,0.45
2,received-non-opioid?,0.799,0.4489,3458,0.99,37,0.01,918,0.99,8,0.01,482,0.99,4,0.01
3,received-opioids-only?,0.484,1.4512,7,0.0,3488,1.0,1,0.0,925,1.0,2,0.0,484,1.0
4,received-non-opioids-only?,0.0,36.1958,2046,0.59,1449,0.41,547,0.59,379,0.41,216,0.44,270,0.56
5,received-combined-therapy?,0.0,37.3788,1412,0.4,2083,0.6,371,0.4,555,0.6,266,0.55,220,0.45
6,received-ace-inhibitor?,0.208,3.1403,1625,0.46,1870,0.54,409,0.44,517,0.56,238,0.49,248,0.51
7,received-aspirin?,0.1865,3.3589,3408,0.98,87,0.02,894,0.97,32,0.03,476,0.98,10,0.02
8,received-beta-blocker?,0.0158,8.2908,3272,0.94,223,0.06,849,0.92,77,0.08,441,0.91,45,0.09
9,received-anti-platelet?,0.0066,10.0281,2552,0.73,943,0.27,690,0.75,236,0.25,325,0.67,161,0.33
10,received-statin?,0.3604,2.0412,3318,0.95,177,0.05,883,0.95,43,0.05,455,0.94,31,0.06
