,treatment,pvalue,statistic,female-yes-#,female-yes-%,female-no-#,female-no-%,male-yes-#,male-yes-%,male-no-#,male-no-%
0,received-analgesic?,0.0575,-1.934,1768,0.99,20,0.01,3100,0.99,19,0.01
1,received-opioid?,0.1918,1.3072,772,0.43,1016,0.57,1287,0.41,1832,0.59
2,received-non-opioid?,0.0084,-3.0268,1760,0.98,28,0.02,3098,0.99,21,0.01
3,received-opioids-only?,0.0334,2.8654,8,0.0,1780,1.0,2,0.0,3117,1.0
4,received-non-opioids-only?,0.0997,-1.651,996,0.56,792,0.44,1813,0.58,1306,0.42
5,received-combined-therapy?,0.2977,1.046,764,0.43,1024,0.57,1285,0.41,1834,0.59
6,received-ace-inhibitor?,0.0001,-3.8588,763,0.43,1025,0.57,1509,0.48,1610,0.52
7,received-aspirin?,0.0226,-3.5218,1722,0.96,66,0.04,3056,0.98,63,0.02
8,received-beta-blocker?,0.5439,-0.6137,1657,0.93,131,0.07,2905,0.93,214,0.07
9,received-anti-platelet?,0.0007,-3.3778,1249,0.7,539,0.3,2318,0.74,801,0.26
10,received-statin?,0.0027,-4.3815,1664,0.93,124,0.07,2992,0.96,127,0.04
