,treatment,pvalue,statistic,caucasian-yes-#,caucasian-yes-%,caucasian-no-#,caucasian-no-%,non-caucasian-yes-#,non-caucasian-yes-%,non-caucasian-no-#,non-caucasian-no-%,unknown-yes-#,unknown-yes-%,unknown-no-#,unknown-no-%
0,received-analgesic?,0.487,1.4389,1365,0.99,12,0.01,316,0.99,3,0.01,360,1.0,1,0.0
1,received-opioid?,0.0,40.7394,541,0.39,836,0.61,126,0.39,193,0.61,208,0.58,153,0.42
2,received-non-opioid?,0.899,0.213,1362,0.99,15,0.01,316,0.99,3,0.01,358,0.99,3,0.01
3,received-opioids-only?,0.3242,2.2528,3,0.0,1374,1.0,0,0.0,319,1.0,2,0.01,359,0.99
4,received-non-opioids-only?,0.0,37.9115,824,0.6,553,0.4,190,0.6,129,0.4,152,0.42,209,0.58
5,received-combined-therapy?,0.0,39.1506,538,0.39,839,0.61,126,0.39,193,0.61,206,0.57,155,0.43
6,received-ace-inhibitor?,0.3875,1.896,579,0.42,798,0.58,124,0.39,195,0.61,159,0.44,202,0.56
7,received-aspirin?,0.4698,1.5109,1341,0.97,36,0.03,308,0.97,11,0.03,354,0.98,7,0.02
8,received-beta-blocker?,0.0492,6.0249,1274,0.93,103,0.07,283,0.89,36,0.11,325,0.9,36,0.1
9,received-anti-platelet?,0.4613,1.5472,898,0.65,479,0.35,214,0.67,105,0.33,226,0.63,135,0.37
10,received-statin?,0.2811,2.5384,1312,0.95,65,0.05,305,0.96,14,0.04,337,0.93,24,0.07
