,treatment,pvalue,statistic,caucasian-am-yes-#,caucasian-am-yes-%,caucasian-am-no-#,caucasian-am-no-%,african-am-yes-#,african-am-yes-%,african-am-no-#,african-am-no-%,asian-am-yes-#,asian-am-yes-%,asian-am-no-#,asian-am-no-%,hispanic-am-yes-#,hispanic-am-yes-%,hispanic-am-no-#,hispanic-am-no-%,unknown-yes-#,unknown-yes-%,unknown-no-#,unknown-no-%
0,received-analgesic?,0.1553,6.6553,1365,0.99,12,0.01,127,0.98,3,0.02,66,1.0,0,0.0,55,1.0,0,0.0,424,1.0,1,0.0
1,received-opioid?,0.0,31.6937,541,0.39,836,0.61,52,0.4,78,0.6,23,0.35,43,0.65,30,0.55,25,0.45,227,0.53,198,0.47
2,received-non-opioid?,0.4264,3.852,1362,0.99,15,0.01,127,0.98,3,0.02,66,1.0,0,0.0,55,1.0,0,0.0,422,0.99,3,0.01
3,received-opioids-only?,0.8174,1.5519,3,0.0,1374,1.0,0,0.0,130,1.0,0,0.0,66,1.0,0,0.0,55,1.0,2,0.0,423,1.0
4,received-non-opioids-only?,0.0,28.869,824,0.6,553,0.4,75,0.58,55,0.42,43,0.65,23,0.35,25,0.45,30,0.55,197,0.46,228,0.54
5,received-combined-therapy?,0.0,30.7678,538,0.39,839,0.61,52,0.4,78,0.6,23,0.35,43,0.65,30,0.55,25,0.45,225,0.53,200,0.47
6,received-ace-inhibitor?,0.0655,8.8288,579,0.42,798,0.58,47,0.36,83,0.64,20,0.3,46,0.7,29,0.53,26,0.47,187,0.44,238,0.56
7,received-aspirin?,0.569,2.9336,1341,0.97,36,0.03,124,0.95,6,0.05,65,0.98,1,0.02,54,0.98,1,0.02,416,0.98,9,0.02
8,received-beta-blocker?,0.0576,9.1445,1274,0.93,103,0.07,114,0.88,16,0.12,60,0.91,6,0.09,46,0.84,9,0.16,385,0.91,40,0.09
9,received-anti-platelet?,0.496,3.3825,898,0.65,479,0.35,83,0.64,47,0.36,48,0.73,18,0.27,39,0.71,16,0.29,268,0.63,157,0.37
10,received-statin?,0.2237,5.688,1312,0.95,65,0.05,122,0.94,8,0.06,65,0.98,1,0.02,54,0.98,1,0.02,397,0.93,28,0.07
