,drugname,routeadmin,Notes,pain_med?,narcotic?,antiplatelet?,beta-blocker?,statin?,aspirin?,ace-inhibitor?
1611022,.5 ml vial : pneumococcal vac polyvalent 25 mcg/0.5ml ij inj,IM,Vaccine for pneumococcal diseases,no,no,no,no,no,no,no
5998297,<<norepinephrine 4 mg/4 ml inj,IV,Blood pressure treatment,no,no,no,no,no,no,no
4328604,0.4 ml syringe : enoxaparin sodium 40 mg/0.4ml sc soln,SC,anticoagulant,no,no,no,no,no,no,no
4491526,0.4 ml syringe : enoxaparin sodium 40 mg/0.4ml sc soln,Subcutaneous,anticoagulant,no,no,no,no,no,no,no
1631076,0.5 ml - influenza vac split quad 0.5 ml im susp,IM,Flu vaccine,no,no,no,no,no,no,no
6358517,0.5 ml plas cont : albuterol sulfate (5 mg/ml) 0.5% in nebu,Nebulization,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
1226508,0.9%  nacl infusion,IV,,no,no,no,no,no,no,no
5978756,"0.9%nacl 1,000 ml",IV,,no,no,no,no,no,no,no
15530,1 each package custom ndc : metoprolol tartrate 12.5 mg po tabs (half-tab),PO,High blood pressure - beta blocker,no,no,no,yes,no,no,no
45329,1 each package custom ndc : metoprolol tartrate 12.5 mg po tabs (half-tab),PER NG TUBE,High blood pressure - beta blocker,no,no,no,yes,no,no,no
104572,1 each package custom ndc : metoprolol tartrate 12.5 mg po tabs (half-tab),PEG TUBE,High blood pressure - beta blocker,no,no,no,yes,no,no,no
5364081,1 each vial : alteplase 2 mg ij solr,IK,Stroke/acute STEMI,no,no,no,no,no,no,no
5336630,1 each vial : ceftriaxone sodium 1 g ij solr,IV,Antibiotic,no,no,no,no,no,no,no
42063,1 ml  -  diphenhydramine hcl 50 mg/ml ij soln,IV,Antihistamine,No,no,no,no,no,no,no
3837809,1 ml  -  haloperidol lactate 5 mg/ml ij soln,IV,Antipsychotic,no,no,no,no,no,no,no
23018,1 ml  -  heparin sodium (porcine) 5000 unit/ml ij soln,SC,anticoagulant,no,no,no,no,no,no,no
1587909,1 ml  -  heparin sodium (porcine) 5000 unit/ml ij soln,IV,anticoagulant,no,no,no,no,no,no,no
23035,1 ml  -  hydralazine hcl 20 mg/ml ij soln,IV,High blood pressure - vasodilator,no,no,no,no,no,no,no
47502,1 ml  -  hydromorphone hcl 1 mg/ml ij soln,IV,opioid,yes,yes,no,no,no,no,no
